,file,prediction
1241,'I163_3',0.0
1242,'I163_4',0.0
1243,'I163_5',0.0
1244,'I163_6',0.0
1245,'I163_7',0.0
1246,'I163_8',0.0
1247,'I163_9',0.0
1248,'I163_10',0.0
1249,'I163_11',0.0
1250,'I164_1',0.0
1251,'I164_2',0.0
1252,'I164_3',0.0
1253,'I164_4',0.0
1254,'I164_5',0.0
1255,'I164_6',0.0
1256,'I165_1',0.0
1257,'I165_2',0.0
1258,'I165_3',0.0
1259,'I165_4',0.0
1260,'I165_5',0.0
1261,'I166_1',0.0
1262,'I166_2',0.0
1263,'I166_3',0.0
1264,'I166_4',0.0
1265,'I166_5',0.0
1266,'I167_1',0.0
1267,'I167_2',0.0
1268,'I167_3',0.0
1269,'I167_4',0.0
1270,'I167_5',0.0
1271,'I167_6',0.0
1272,'I167_7',0.0
1273,'I167_8',0.0
1274,'I167_9',0.0
1275,'I167_10',3.0
1276,'I167_11',0.0
1277,'I168_1',0.0
1278,'I168_2',0.0
1279,'I168_3',0.0
1280,'I168_4',0.0
1281,'I168_5',3.0
1282,'I169_1',0.0
1283,'I169_2',0.0
1284,'I169_3',0.0
1285,'I169_4',0.0
1286,'I169_5',0.0
1287,'I169_6',0.0
1288,'I169_7',0.0
1289,'I169_8',0.0
1290,'I170_1',0.0
1291,'I170_2',0.0
1292,'I170_3',0.0
1293,'I170_4',0.0
1294,'I170_5',0.0
1295,'I170_6',0.0
1296,'I171_1',0.0
1297,'I171_2',0.0
1298,'I171_3',0.0
1299,'I171_4',0.0
1300,'I171_5',0.0
1301,'I172_1',0.0
1302,'I172_2',0.0
1303,'I172_3',0.0
1304,'I172_4',0.0
1305,'I172_5',0.0
1306,'I173_1',0.0
1307,'I173_2',0.0
1308,'I173_3',0.0
1309,'I173_4',0.0
1310,'I173_5',0.0
1311,'I173_6',0.0
1312,'I173_7',0.0
1313,'I173_8',0.0
1314,'I174_1',0.0
1315,'I174_2',0.0
1316,'I174_3',0.0
1317,'I174_4',0.0
1318,'I174_5',0.0
1319,'I174_6',0.0
1320,'I174_7',0.0
1321,'I174_8',0.0
1322,'I174_9',0.0
1323,'I174_10',0.0
1324,'I175_1',0.0
1325,'I175_2',2.0
1326,'I175_3',0.0
1327,'I175_4',0.0
1328,'I175_5',0.0
1329,'I176_1',0.0
1330,'I176_2',0.0
1331,'I176_3',0.0
1332,'I176_4',0.0
1333,'I176_5',0.0
1334,'I176_6',0.0
1335,'I176_7',0.0
1336,'I176_8',0.0
1337,'I176_9',0.0
1338,'I177_1',0.0
1339,'I177_2',0.0
1340,'I177_3',0.0
1341,'I177_4',0.0
1342,'I177_5',3.0
1343,'I178_1',0.0
1344,'I178_2',0.0
1345,'I178_3',0.0
1346,'I178_4',0.0
1347,'I178_5',0.0
1348,'I178_6',0.0
1349,'I178_7',0.0
1350,'I178_8',0.0
1351,'I178_9',0.0
1352,'I179_1',0.0
1353,'I179_2',0.0
1354,'I179_3',0.0
1355,'I179_4',0.0
1356,'I179_5',0.0
1357,'I180_1',0.0
1358,'I180_2',0.0
1359,'I180_3',0.0
1360,'I180_4',0.0
1361,'I180_5',0.0
1362,'I180_6',0.0
1363,'I180_7',0.0
1364,'I180_8',0.0
1365,'I181_1',0.0
1366,'I181_2',0.0
1367,'I181_3',0.0
1368,'I181_4',0.0
1369,'I181_5',0.0
1370,'I182_1',0.0
1371,'I182_2',0.0
1372,'I182_3',0.0
1373,'I182_4',0.0
1374,'I182_5',0.0
1375,'I182_6',0.0
1376,'I182_7',0.0
1377,'I183_1',0.0
1378,'I183_2',0.0
1379,'I183_3',0.0
1380,'I183_4',0.0
1381,'I183_5',0.0
1382,'I183_6',0.0
1383,'I183_7',0.0
1384,'I183_8',0.0
1385,'I183_9',0.0
1386,'I183_10',0.0
1387,'I183_11',0.0
1388,'I183_12',0.0
1389,'I183_13',0.0
1390,'I183_14',0.0
1391,'I184_1',0.0
1392,'I184_2',0.0
1393,'I184_3',0.0
1394,'I184_4',0.0
1395,'I184_5',0.0
1396,'I184_6',0.0
1397,'I185_1',0.0
1398,'I185_2',0.0
1399,'I185_3',0.0
1400,'I185_4',0.0
1401,'I185_5',0.0
1402,'I185_6',0.0
1403,'I185_7',0.0
1404,'I185_8',0.0
1405,'I185_9',0.0
1406,'I186_1',0.0
1407,'I186_2',0.0
1408,'I186_3',0.0
1409,'I186_4',0.0
1410,'I186_5',0.0
1411,'I187_1',0.0
1412,'I187_2',3.0
1413,'I187_3',0.0
1414,'I187_4',0.0
1415,'I187_5',0.0
1416,'I187_6',0.0
1417,'I188_1',0.0
1418,'I188_2',3.0
1419,'I188_3',0.0
1420,'I188_4',0.0
1421,'I188_5',0.0
1422,'I189_1',0.0
1423,'I189_2',0.0
1424,'I189_3',0.0
1425,'I189_4',0.0
1426,'I189_5',0.0
1427,'I190_1',0.0
1428,'I190_2',0.0
1429,'I190_3',0.0
1430,'I190_4',0.0
1431,'I190_5',3.0
1432,'I190_6',0.0
1433,'I191_1',0.0
1434,'I191_2',0.0
1435,'I191_3',0.0
1436,'I191_4',0.0
1437,'I191_5',0.0
1438,'I191_6',0.0
1439,'I191_7',0.0
1440,'I192_1',2.0
1441,'I192_2',0.0
1442,'I192_3',0.0
1443,'I192_4',0.0
1444,'I192_5',0.0
1445,'I192_6',0.0
1446,'I192_7',2.0
1447,'I192_8',0.0
1448,'I192_9',0.0
1449,'I192_10',0.0
1450,'I193_1',0.0
1451,'I193_2',0.0
1452,'I193_3',0.0
1453,'I193_4',0.0
1454,'I193_5',0.0
1455,'I193_6',0.0
1456,'I193_7',0.0
1457,'I193_8',0.0
1458,'I193_9',0.0
1459,'I193_10',0.0
1460,'I193_11',0.0
1461,'I193_12',0.0
1462,'I193_13',0.0
1463,'I193_14',0.0
1464,'I193_15',0.0
1465,'I193_16',0.0
1466,'I193_17',0.0
1467,'I193_18',0.0
1468,'I193_19',0.0
1469,'I193_20',0.0
1470,'I193_21',0.0
1471,'I193_22',0.0
